,1st_committer,committers
0,Nate McMaster,"['Nate McMaster', 'Martyn Jones', 'Andrii Kurdiumov', 'Pranav K', 'Stefan Nikolei', 'Benjamin', 'WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,Martyn Jones,"['Martyn Jones', 'Andrii Kurdiumov', 'Pranav K', 'Stefan Nikolei', 'Benjamin', 'WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,Andrii Kurdiumov,"['Andrii Kurdiumov', 'Pranav K', 'Stefan Nikolei', 'Benjamin', 'WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,Pranav K,"['Pranav K', 'Stefan Nikolei', 'Benjamin', 'WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,Stefan Nikolei,"['Stefan Nikolei', 'dotnet-maestro[bot]', 'Stefan Stefanov', 'Devendar Reddy A', 'Jeremy Kuhne', 'Raf', 'Vatsan Madhavan', 'Rich Lander', 'Adam Yoblick', 'Immo Landwerth', 'Sam Neirinck', 'Vlad Khapin', 'Tanya Solyanik', 'Sam Harwell', 'oliag', 'Oren Novotny', 'Maira Wenzel', 'Kevin Gosse', 'Morten Nielsen', 'Judit Varsanyi Rozsa', 'Maher Jendoubi', 'Hugh Bellamy', 'Scott Hanselman', 'dotnet-bot', 'Devendar Reddy Adulla', 'Jake Garner', 'Klaus Löffelmann', 'dreddy-work', 'Charles Milette', 'Carlo Wahlstedt', 'Olia Gavrysh', 'Zachary Danz', 'Shyam Gupta', 'Dmitry Bryukov', 'Merrie McGaw', 'psupina', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,Benjamin,"['Benjamin', 'WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,WaiChungK,"['WaiChungK', 'Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,Ryouko Konpaku,"['Ryouko Konpaku', 'uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,uazo,"['uazo', 'Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,Attila Hajdrik,"['Attila Hajdrik', 'Alex Gavrilov', 'Grahame Horner', 'Austin Cummings', 'Robin Sue', 'alenros', 'Matthew Lazarow', 'Matt Ferderer', 'Joseph Musser', 'alexgav', 'Lachlan B', 'chassq', 'Florian Dohrendorf', 'Luke Latham', 'Eilon Lipton', 'flash2048', 'Espen Skaufel', 'forest93', 'Carmelo Messina', 'KristianJakubik', 'Chris Ray', 'Nikolei, Stefan', 'simpman4', 'user1336', 'Howard Richards', 'Zef Ubachs', 'Suchiman', 'Mark Dickinson', 'Jeremy Hutchinson', 'Anthony Chu', 'Brian Allred', 'Steve Sanderson', 'Rémi BOURGAREL', 'Daniel Roth', 'Marcus Bowyer', 'Todd Lang', 'Henk Mollema', 'Meir Blachman', 'Lukas Bickel', 'cores-system', 'Stephen Roe', 'Ryan Nowak', 'Dmitry Dizhevskiy', 'Emanuele Filardo', 'Benjamin Vertonghen', 'Emiel Koning', 'Eugene Bekker', 'Gutemberg Ribeiro', 'Mark Gaze', 'Javier Calvarro Nelson', 'Guillaume ZAHRA', 'Olivier Lefebvre', 'Miha Markič', 'Adrian Wright', 'Zou Wei', 'Zachary Becknell', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
