,1st_committer,committers
0,Austin Wise,"['Austin Wise', 'Craig Wittenberg', 'misirlou-tg', 'Xiaoyin Liu', 'BaldwinTechnology', 'Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,Craig Wittenberg,"['Craig Wittenberg', 'misirlou-tg', 'Xiaoyin Liu', 'BaldwinTechnology', 'Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,misirlou-tg,"['misirlou-tg', 'Xiaoyin Liu', 'BaldwinTechnology', 'Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,Xiaoyin Liu,"['Xiaoyin Liu', 'BaldwinTechnology', 'Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,BaldwinTechnology,"['BaldwinTechnology', 'Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,Azarien,"['Azarien', 'bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,bytes-and-bits,"['bytes-and-bits', 'fuzun', 'Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,fuzun,"['fuzun', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Microsoft GitHub User,"['Microsoft GitHub User', 'Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,Thai Nguyen,"['Thai Nguyen', 'ieee0824', 'Nazmus Shakib Khandaker', 'James Moore', 'Edward Betts', 'Mateusz Karcz', 'Martin Payne', 'Nathan-J. Hirschauer', 'mattn', 'NazmusLabs', 'Artur Souza', 'Humberto Pinheiro', 'Baruch Rutman', 'Naruto Mouri', 'Matthew Justice', 'Josh Soref', 'Pascal Borreli', 'Microsoft Open Source', 'Mingjie Chen', 'MouriNaruto', 'carlo-bramini', 'Techokami', 'Malcolm Smith', 'Mateus Rodrigues de Morais', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
