,1st_committer,committers
0,MisterBigbooo,"['MisterBigbooo', '水冻寒星', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,水冻寒星,"['水冻寒星', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,,[None]
3,Chris Ballinger,"['Chris Ballinger', 'Chris Johnston', 'Adrian Torres', 'kisak-valve', 'AsciiWolf', 'Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,Chris Johnston,"['Chris Johnston', 'Adrian Torres', 'kisak-valve', 'AsciiWolf', 'Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,Adrian Torres,"['Adrian Torres', 'kisak-valve', 'AsciiWolf', 'Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,kisak-valve,"['kisak-valve', 'AsciiWolf', 'Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,AsciiWolf,"['AsciiWolf', 'Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Nikolay Sivov,"['Nikolay Sivov', 'NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,NoXPhasma,"['NoXPhasma', 'LArrowHead', 'Jeremy White', 'Seppo Yli-Olli', 'Mayeul Cantan', 'Andres Rodriguez', 'tcarrio', 'Philip Rebohle', 'Kai Krakow', 'Andrew Eikum', 'Sebastian Wick', 'Vincent Povirk', 'John Schoenick', 'Gravemind', 'Christian Lanig', 'Krish De Souza', 'Józef Kucia', 'Steven Noonan', 'Huw Davies', 'Tom', 'hdmap', 'Pierre-Loup A. Griffais', 'Zebediah Figura', 'Ben Abbott', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
