,1st_committer,committers
0,LiWenGuang,"['LiWenGuang', 'xianlaioy', 'Snailclimb', 'lillusory', 'Young Chen', 'wangchao96', 'Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,xianlaioy,"['xianlaioy', 'boxing.yi', 'hjzhangxiaoling', 'qisheng.li', 'kowaywang', 'acxlam', 'xuelei.xl', 'ace.lam', 'lizhiwei', '徐小军', 'Robin Gong', 'peachyy', 'Calvin Xiao', 'dehui.zheng', 'william.liang', 'ben04.li', 'crossoverJie', 'Skyward', 'lixuanbin', 'cloud.huang', 'Louis Mills', 'jie.tian', '薛珂', 'DiamondYuan', 'Robin.G', 'qudongfang', 'chenxushao', 'calvin.xiao', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,Snailclimb,"['Snailclimb', 'lillusory', 'Young Chen', 'wangchao96', 'Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,lillusory,"['lillusory', 'Young Chen', 'wangchao96', 'Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,Young Chen,"['Young Chen', 'wangchao96', 'Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,wangchao96,"['wangchao96', 'Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,Gene1994,"['Gene1994', 'jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,jiayangchen,"['jiayangchen', 'Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Blank,"['Blank', 'phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,phasd,"['phasd', 'xiaour.zhang', 'lzLee', 'Max', 'Rebecca', '_eternal_flame', 'Sortinn', '靳阳', '张利君', 'chenjiayang', 'justlive1', 'liurongdev', 'feng qijun', 'Yongzhi Yang', '高鹏', 'Jiawei', 'neverX2017', 'Nightingale07', 'lewis', 'SnailClimb', 'Silverados', 'Gene', 'DennisMi', '木木匠', 'tecyang', 'geyingauv', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
