,1st_committer,committers
0,HatimLokhandwala,"['HatimLokhandwala', 'Sylvester-ABC', 'Diego Paiva', 'Ocn', 'Kevin Brewer', 'Matej Jellus', 'mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,Sylvester-ABC,"['Sylvester-ABC', 'Vitor Dino', 'Lokesh', 'Eliel das Virgens Santos', 'Mott, Jeffrey T', 'Muthu Kumar', 'Mihail Gumennii', 'İlker Demir', 'Mateus', 'Joydip Roy', 'Christian Leo-Pernold', 'Dimitris Zarachanis', 'ZYSzys', 'Khalimudin', 'Dawid Lipinski', 'rijdz', 'Leonardo Maldonado', 'Nguyen Tran Chung', 'ilker0', 'Yaduvendra Singh', 'Mathias Bynens', 'Diego Alves', 'Joe Cortopassi', 'Re Tian', 'Kevin Jullien', 'Leandro Nunes', 'Tomer Aberbach', 'Fernando Sutter', 'Mohamed Oun', 'Arun Kumar', 'Kamil Zegier', 'vidhu bansal', 'leonardomso', 'Napoleon Oikonomou', 'Ramon Chancay', 'Cristopher da Silva', 'Brinley Ang', 'Tiago Boeing', 'Amit Merchant', 'Noé', 'adonismendozaperez', 'Ronalson Filho', 'Aral Tasher', 'chrisVillanuevaMCK1', 'Majid Alavizadeh', 'Ruwan Pradeep Geeganage', 'Jason Yu', 'gumennii', 'Suin Lee', 'Ashinze Ekene', 'Daniel Li', 'Rodrigo Coto', 'achmadkhodzim', 'Sarah Waldie', 'MegaHertz3', 'Hobbytowo', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,Diego Paiva,"['Diego Paiva', 'Ocn', 'Kevin Brewer', 'Matej Jellus', 'mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,Ocn,"['Ocn', 'Kevin Brewer', 'Matej Jellus', 'mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,Kevin Brewer,"['Kevin Brewer', 'Matej Jellus', 'mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,Matej Jellus,"['Matej Jellus', 'mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,mcdong,"['mcdong', 'Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,Prateek Karnal,"['Prateek Karnal', 'Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Peter Shershov,"['Peter Shershov', 'Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,Bruce-Feldman,"['Bruce-Feldman', 'Juan Pablo Valencia', 'Oz Weiss', 'vivaxy', 'Minki-Kim', 'Roland', 'Kim Jong Hyen', 'Oliver Hepworth-Bell', 'Sina Sharafzadeh', '琚致远', 'Édipo Nascimento', 'pavelekpl', 'DADDOU Mohamed El Amine', 'Vinicius', 'Albert Still', 'ADITYA', 'mantou', 'liushuang', 'hariv', 'DanielChen', 'Tapasweni Pathak', 'Hanh D. TRAN', 'Mahmoud Aslan', 'Matt Mapplebeck', 'seIncorp', 'Nicolas DUBIEN', 'Silence Tang', 'Tomáš Hübelbauer', 'ak4522912', 'redfast00', 'Federico Bozzini', 'Yavorski', 'catchme', 'KeiSei', 'RequireSun', 'Jack Lee', 'm-maksyutin', 'Oleksii Kersov', 'Oleg', 'Karlo Vrbić', 'Agustin Navcevich', 'Moshe', 'Hafidz Jazuli Luthfi', 'Cyril Auburtin', 'Nnadozie Okeke', 'Klaus Sinani', 'Kevin', 'Sid', 'Huzaima Khan', 'Shlomi Fish', 'Stulov Alex', 'Tien Do', 'YuqiangZhang', 'Henry', 'Robert Taussig', 'Felix Rilling', 'Oleksii Trekhleb', 'Correy Lim', 'Whales', 'Vamshi Bachaneboina', 'yobrave', 'Brian Reinhart', 'Amjad Ali', 'Simon', 'kiinlam', 'Ujjwal Aryal', 'YeonJuan', 'Keoni Garner', 'arnav-aggarwal', 'Vignesh Manoharan', 'Christopher Samuel', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
