,1st_committer,committers
0,Peng Li,"['Peng Li', '0xflotus', 'Abhishek Rao', 'Bogdan Didenko', 'JasonJPu', 'Jacob Devlin', 'Stefan Schweter', 'cbockman', 'Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1,0xflotus,"['0xflotus', 'cclauss', 'Baoyuan Wu', 'root', 'Yanbo Fan', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,Abhishek Rao,"['Abhishek Rao', 'Bogdan Didenko', 'JasonJPu', 'Jacob Devlin', 'Stefan Schweter', 'cbockman', 'Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,Bogdan Didenko,"['Bogdan Didenko', 'JasonJPu', 'Jacob Devlin', 'Stefan Schweter', 'cbockman', 'Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
4,JasonJPu,"['JasonJPu', 'Jacob Devlin', 'Stefan Schweter', 'cbockman', 'Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5,Jacob Devlin,"['Jacob Devlin', 'Stefan Schweter', 'cbockman', 'Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6,Stefan Schweter,"['Stefan Schweter', 'Felix Sonntag', 'Duncan Blythe', 'Kashif Rasul', 'Bruno P. Kinoshita', 'Halid Ziya Yerebakan', 'Alan Akbik', 'mittalsuraj18', 'Per Ploug', 'Brett Koonce', 'Tim Miller', 'neuhausler', 'Johannes Baiter', 'louisguitton', 'Adnan Siddiqui', 'crapthings', 'Tanja', 'Nilabhra', 'Dr. Kashif Rasul', 'Egor', 'Stephan Klinger', 'Tanja Bergmann', 'tabergma', 'aakbik', 'Scott Novotney', 'Peter Izsak', 'puttkraidej', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
7,cbockman,"['cbockman', 'Kevin Clark', 'João Felipe Santos', 'Cenny', 'Dat Quoc Nguyen', 'effi-t', 'Victor Zhong', 'Daniel Khashabi', 'Yen Chen', 'hady elsahar', 'Jing Liu', 'Shulin Cao', 'Stephen Spencer', 'Vietnamese Core NLP', 'Semih Yagcioglu', 'Sebastian Ruder', 'Saurav Jha', 'Youwei Song', 'h-amirkhani', 'Reinald Kim', 'Gary Munnelly', 'yfletberliac', 'Shashi Narayan', 'raganato', 'Yuval Pinter', 'jbkjr', 'Sho Takase', 'Fei Liu', 'Stephen Mayhew', 'Piotr Migdał', 'berndbohnet', 'Miguel Ballesteros', 'Mathis Chenuet', 'pedrada88', 'Yijia Liu', 'Raihan Ramadistra', 'Octavian-Eugen Ganea', 'Octavian Ganea', 'Sebastian', 'Shujian2015', 'R.M. van der Goot', 'Tobias', 'rstojnic', 'Marc Marone', 'Zhixiu Ye', 'Yu Wu (吴俣)', 'Johannes Hoffart', 'Sai', 'Davide Fiocco', 'Alan Lee', 'Yankai Lin', 'Alan Akbik', 'Yi Tay', 'asoroa', 'Jonathan Kummerfeld', 'Hao Zhu', 'Thomas Lisankie', 'David Nogueira', 'Joohong Lee', 'Shamil Chollampatt', 'Sepehr Sameni', 'Syed Shahbaz Ahmed', 'Zeno Gantner', 'Leon Derczynski', 'Nikita', 'Qian Hong', 'avisil', 'legolego', 'Yan Feng', 'lixin4ever', 'Sanket Vaibhav Mehta', 'Shaojie Bai', 'Nirant', 'Piotr Czapla', 'Thierno Ibrahima DIOP', 'Felix Sonntag', 'suster', 'Antoine Bosselut', 'ghaddarAbs', 'Arman Akbarian', 'Yonatan Bisk', 'Oleg Shlyazhko', 'Finn Årup Nielsen', 'Marcin Elantkowski', 'Nathan Schneider', 'Jet Lee', 'Manuel', 'Noémien Kocher', 'di-he', 'Julien Plu', 'Marcin Flis', 'YaYaB', 'Jongmin Park', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
8,Leo Zhao,"['Leo Zhao', 'Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
9,Ruchen Zhang,"['Ruchen Zhang', 'Craig Citro', 'Aijun Bai', 'Feng', 'soloice', 'jacobdevlin-google', 'hsm207', 'Ammar Asmro', 'Youngwook Kim', 'Incomplete', 'TianXin', 'Mathis Chenuet', 'Ming-Wei Chang', '卜居', 'Caspar ZHANG', 'Grégory Châtel', 'Haibin Lin', 'Miguel Sozinho Ramalho', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
